stationName,Longitude,Latitude,totalDocks
W 18 St & 6 Ave,-73.99456405,40.73971301,47
Grand Army Plaza & Central Park S,-73.97371465,40.7643971,66
Broadway & E 14 St,-73.99074142,40.73454567,53
3 Ave & Schermerhorn St,-73.9796772,40.68683208,35
Broadway & Battery Pl,-74.01361706,40.70463334,33
Old Slip & Front St,-74.00838676,40.7037992,37
Greenwich St & W Houston St,-74.008591,40.728846,35
E 47 St & Park Ave,-73.97498696,40.75510267,64
6 Ave & Canal St,-74.00566443,40.72243797,47
W 26 St & 10 Ave,-74.00295035,40.74971775,35
Broadway & E 22 St,-73.98955109,40.7403432,39
West St & Chambers St,-74.01322069,40.71754834,29
W 44 St & 5 Ave,-73.98014437,40.75500254,46
E 24 St & Park Ave S,-73.98602213,40.74096374,51
W 52 St & 5 Ave,-73.97648516,40.75992262,41
S 5 Pl & S 5 St,-73.960876,40.710451,43
E 55 St & Lexington Ave,-73.97031366,40.75968085,36
Berry St & N 8 St,-73.95852515,40.7190095,27
1 Ave & E 68 St,-73.95818491,40.76500525,59
E 48 St & 5 Ave,-73.97805914,40.75724568,39
8 Ave & W 31 St,-73.99468482,40.75058535,19
W 52 St & 6 Ave,-73.97982001,40.76132983,41
Murray St & Greenwich St,-74.01122332,40.71485151,33
W Broadway & Spring Street,-74.00165856,40.72494672,42
W 52 St & 11 Ave,-73.99392888,40.76727216,55
Franklin St & W Broadway,-74.00666661,40.71911552,33
St James Pl & Pearl St,-74.00016545,40.71117416,27
Atlantic Ave & Fort Greene Pl,-73.97632328,40.68382604,62
W 17 St & 8 Ave,-74.00149746,40.74177603,39
Park Ave & St Edwards St,-73.97803415,40.69608941,19
Lexington Ave & Classon Ave,-73.95928168,40.68676793,19
Barrow St & Hudson St,-74.00674436,40.73172428,31
MacDougal St & Prince St,-74.00297088,40.72710258,30
Clinton St & Joralemon St,-73.99337909,40.69239502,24
Nassau St & Navy St,-73.98068914,40.69839895,19
Hudson St & Reade St,-74.0091059,40.71625008,39
E 2 St & Avenue C,-73.98085795,40.7208736,54
Cleveland Pl & Spring St,-73.99724901,40.72210379,33
Henry St & Atlantic Ave,-73.99612349,40.69089272,23
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,35
E 47 St & 2 Ave,-73.97032517,40.75323098,47
E 39 St & 3 Ave,-73.97604882,40.7489006,45
Broadway & W 49 St,-73.98452729,40.76068327,51
E 25 St & 1 Ave,-73.97738662,40.7381765,30
Liberty St & Broadway,-74.01043382,40.70905623,45
W 16 St & The High Line,-74.00681753,40.74334935,60
Columbia Heights & Cranberry St,-73.99548059,40.70037867,23
Old Fulton St,-73.99383605,40.70277159,39
W 13 St & 7 Ave,-73.99994661,40.73781509,33
Spruce St & Nassau St,-74.00552427,40.71146364,31
E 48 St & 3 Ave,-73.97187886,40.7546011,55
Great Jones St,-73.99379025,40.72743423,23
St Marks Pl & 2 Ave,-73.98713956,40.7284186,47
E 11 St & 2 Ave,-73.98672378,40.73047309,19
Bank St & Washington St,-74.00859207,40.7361967,31
Willoughby St & Fleet St,-73.9813018,40.69196566,31
DeKalb Ave & S Portland Ave,-73.97493121,40.68981035,23
Carlton Ave & Flushing Ave,-73.973736,40.697787,23
Fulton St & Rockwell Pl,-73.979458,40.68841,31
Willoughby Ave & Hall St,-73.96536851,40.69196035,31
Myrtle Ave & St Edwards St,-73.97703874,40.69327018,23
Perry St & Bleecker St,-74.00483091,40.73535398,54
Laight St & Hudson St,-74.00771779,40.72185379,23
Harrison St & Hudson St,-74.0090009,40.71870987,27
