Business Name,Longitude,Latitude
"PARKANLEX GARAGE COMPANY, LLC",-73.96162515,40.7727369
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.95920715,40.7593829
"919 THIRD AVENUE GARAGE COMPANY, LLC",-73.96833251,40.759136
EASTSIDE PARKING LLC,-73.96181177,40.75580465
EAST 72ND REALTY LLC,-73.95342975,40.76730753
SP PLUS CORPORATION,-73.99081169,40.74561937
MARTIN GARAGE LLC,-73.96909676,40.75349301
EAST 102ND ST REALTY LLC,-73.94319587,40.78759753
SCR PARKING CORP.,-73.9543742,40.77987881
"CHARLES PARKING, LLC",-73.98114462,40.7412705
311 WEST BROADWAY GARAGE LLC,-74.00430751,40.72172931
HUDSON TOWER OWNERS LLC,-74.01702146,40.71023308
"TOWNSWAY GARAGE CO., LLC",-73.98260236,40.74190477
SKY PARKING CORP.,-74.00945482,40.71629164
SAVOY GARAGE PARTNERS LLC,-73.95631324,40.77979722
"SESSANTA PARKING CO., LLC",-73.98813648,40.77147736
ALVA 47 PARKING LLC,-73.98635534,40.75994376
100 RIVERSIDE PARKING LLC,-73.98952932,40.77623687
PLAZA 48 PARKING LLC,-77.51958437,40.11238534
171 EAST 84 PARTNERS LLC,-73.95579818,40.77787296
310 EAST 48TH STREET GARAGE LLC,-77.51958437,40.11238534
142 WEST 57TH STREET PARKING CORP.,-73.9791993,40.76515221
EAST 29 PARKING LLC,-73.98475258,40.74443025
8 EAST 83RD GARAGE LLC,-73.96139384,40.77938732
MP WEST 58 LLC,-73.98519814,40.7693965
"YORKVILLE CAR PARK, LLC",-73.95138989,40.78235883
512-520 W. 112TH ST. GARAGE CORP.,-73.96365127,40.80455449
"LIBERTY VIEW PARKING, LLC",-74.01664405,40.71553876
SP PLUS CORPORATION,-73.94724658,40.77980989
MPC PARKING LLC,-73.96471875,40.76007091
SP PLUS CORPORATION,-73.96223132,40.80522649
NEW YORK PARKING 56TH ST. CORP,-73.97641311,40.76312056
SP PLUS CORPORATION,-73.98832074,40.77072257
"IMPACT CAR PARK, LLC",-73.99841563,40.74776886
"350 WEST 43RD CAR PARK, LLC",-73.99074493,40.75850595
"ABM INDUSTRY GROUPS, LLC",-73.98396172,40.76157383
CA-LI AUTOMATIC TRANSMISSION CORP.,-73.96237834,40.80074715
NOBLE GARAGE LLC,-73.97352761,40.74801286
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",-73.94889038,40.83508938
SP PLUS CORPORATION,-73.97515586,40.78520172
"CHAMPION PARKING 16, LLC",-73.98915317,40.73586712
MINETTA LANE OWNERS LLC,-74.00051596,40.73061417
BENNETTE NY CORP,-73.93174434,40.85845442
SP PLUS CORPORATION,-77.51958437,40.11238534
"BOND STREET GARAGE, LLC",-73.99356354,40.72635687
SP PLUS CORPORATION,-73.96234365,40.76630072
EAST HARLEM 119 CORP,-73.93352217,40.79774237
"300 EAST 74TH STREET CAR PARK, LLC",-73.95705257,40.7699631
M H M PARKING LLC,-73.97671091,40.74767868
85 JOHN STREET GARAGE LLC,-74.00673409,40.70836496
SP PLUS CORPORATION,-73.96652461,40.77241455
NEW YORK PARKING 57TH ST. CORP.,-73.97010747,40.76132678
