Business Name,Longitude,Latitude
351 1/2 CORP.,-77.51958437,40.11238534
"RAMOS, PEDRO",-77.51958437,40.11238534
"CURASAO LAUNDROMAT, INC.",-77.51958437,40.11238534
"CLEAN RITE CENTER - 370-376 LENOX AVE., LLC",-77.51958437,40.11238534
"9-11 LAUNDROMAT, INC.",-77.51958437,40.11238534
LA COLONIA LAUNDROMAT INC.,-77.51958437,40.11238534
"9-11 LAUNDROMAT, INC.",-77.51958437,40.11238534
701 SPLASHING LAUNDROMAT INC.,-77.51958437,40.11238534
FOURTEEN TOWER CORPORATION,-74.01765571,40.70803717
"COUTURE CLEANERS, LLC",-74.00850112,40.73386639
"SHI, CINDY CHEUN SHEUNG",-74.00725646,40.73566704
"HUDSON KIM CLEANERS, INC.",-74.0066318,40.73155818
"R&C 177 LAUNDRY, LLC",-74.00623154,40.73419865
"GM HOPE, INC.",-74.00562927,40.73796997
CHRISTOPHER STREET CLEANERS INC,-74.00549175,40.73319685
CHRISTOPHER STREET CLEANERS INC,-74.00549175,40.73319685
L & IAN LAUNDROMAT INC,-74.00473749,40.73121518
"66 CARMINE DRY CLEANING & LAUNDROMAT, INC.",-74.00429359,40.72975224
TWO FUTURE DREAMS INC,-74.00427214,40.73282911
"45 GROVE ST. LAUNDROMAT, INC.",-74.00427214,40.73282911
"TWO FUTURE DREAMS, INC.",-74.00427214,40.73282911
SOHO DRY CLEANING INC,-74.0041453,40.72392513
"YIU'S BROTHER, INC.",-74.00410985,40.73406974
NEW SPRING CLEANERS INC.,-74.00387196,40.73845038
LAUNDROMAT BROOME ST. CORP.,-74.00382059,40.7237632
"LI & P LAUNDROMAT, INC.",-74.00367339,40.73666081
NEW 99 JANE LAUNDROMAT CORP,-74.00366267,40.73855743
99 JANE LAUNDROMAT CORP.,-74.00366267,40.73855743
178 LAUNDROMAT INC.,-74.00321112,40.72867907
CLEANTOPIA OF NY INC.,-74.00321112,40.72867907
E-WASH INC.,-74.00218654,40.73139915
NEW WEST LAKE INC.,-74.00184365,40.72709263
HUDA LAUNDROMAT INC,-74.00182179,40.71945672
"JEAN'S MANHATTAN CLEANERS & LAUNDROMAT, INC.",-74.00172868,40.74592164
"MERMAID LAUNDROMAT, INC.",-74.00132066,40.73515673
"15TH ST. BRIGHT & CLEAN, INC.",-74.00094185,40.73999573
"COTTON WHITE LAUNDROMAT, INC.",-74.00075059,40.73989692
PTT NY INC,-74.0007218,40.74734069
PLAN 233 SPARK-WASH INC.,-74.0007218,40.74734069
NEW QUICK COIN INC.,-74.00058823,40.74239739
"CAMPUS LAUNDRY & CLEANERS, INC.",-74.00047988,40.7314623
"TIO, ANTONIUS & PANGESTU, SUSANNA",-74.00021654,40.74601498
THOMPSON STREET LAUNDROMAT INC.,-74.00020565,40.72780903
THOMPSON STREET LAUNDROMAT INC.,-74.00020565,40.72780903
"YEUNG, YIN PING",-74.00020565,40.72780903
GREAT WALL LAUNDRY & CLEANING INC.,-74.00011186,40.73872492
JAMES CLOTHING SERVICES LLC,-73.99989534,40.74419795
"JT CHELSEA CLEANERS, INC.",-73.99989534,40.74419795
"NISHI LAUNDROMAT, INC.",-73.99989534,40.74419795
ALPINE CLEANERS INC,-73.99975472,40.71171376
"ALL PURPOSE LAUNDROMAT, INC.",-73.99966438,40.74366272
"WELL MORE LAUNDROMAT, INC.",-73.99966438,40.74366272
SUN-PARK LAUNDROMAT INC.,-73.99962845,40.71500199
"EPSM ENTERPRISES, INC.",-73.99933601,40.74015219
THOMPSON STREET LAUNDROMAT INC.,-73.99877326,40.72950254
DAILY BUBBLE LAUNDROMAT INC,-73.99870849,40.72047503
SUDS CLEANERS INC.,-73.99870849,40.72047503
KAN'S HOLDING LTD.,-73.99870849,40.72047503
"YOO, KWANG",-73.99865027,40.74505156
"YEE, NANCY",-73.99851654,40.75432057
"HONG WAH LAUNDROMAT, INC.",-73.99819228,40.73269743
"EVERCLEAN LAUNDROMAT, INC.",-73.99790704,40.73869745
WONDER WASH AND DRY INC.,-73.99747128,40.71573756
"C & W FORMOSA, INC.",-73.99741958,40.74675054
HESTER ST. LAUNDROMAT INC.,-73.99730886,40.71794983
"WASH N' GO LAUNDROMAT, LLC",-73.99730886,40.71794983
CITY BRITE CLEANER INC.,-73.9969912,40.72265159
SUDS CLEANERS INC.,-73.9969912,40.72265159
JIE LI LAUNDROMAT INC.,-73.99685431,40.71825174
MEE YEE LLC,-73.99685431,40.71825174
BROWN BAG LAUNDRY MERCER LLC,-73.99682144,40.72671932
BROWN BAG LAUNDRY CORP.,-73.99682144,40.72671932
QUICK COIN FOUR INC.,-73.99678099,40.74255106
ARNOLD K. P. CORP.,-73.99674851,40.74256478
CHIN WAI LIN & SHAN MING YANG,-73.99657282,40.72040911
MULBERRY LAUNDROMAT INC.,-73.99657282,40.72040911
"PARK'S NY CLEANERS, INC.",-73.99637701,40.73890601
NEW MADISON SUPREME LAUNDROMAT INC.,-73.99623779,40.71212816
MADISON SUPREME LAUNDROMAT YANG INC.,-73.99610793,40.71213914
"PARK'S NY CLEANERS, INC.",-73.99595838,40.73947691
"O'HENRY LAUNDROMAT, INC.",-73.99579045,40.71291864
PLAN 452 SPIN & SPAN INC.,-73.99569761,40.75420248
"WAI KUEN ENG,SZETO",-73.99562398,40.72118859
"SZETO, FOON",-73.99562398,40.72118859
"LI BAI LAUNDROMAT, INC.",-73.99550145,40.7192947
121 ELIZABETH LAUNDROMAT INC.,-73.99550145,40.7192947
"HOM, MUI YUNG",-73.9951304,40.71224614
"DANG, LONG GIANG",-73.99485198,40.72090036
"PRINCE STREET CLEANERS, INC.",-73.99464979,40.72291775
"YEE, DAVID M.",-73.99393962,40.75661503
D&P LAUNDROMAT INC.,-73.99391796,40.75667816
VILLAGE BLEACHERS LAUNDROMAT INC.,-73.99365668,40.7334356
BO-IN LAUNDRY INC,-73.99348787,40.76233505
BI LAUNDRY INC.,-73.99348787,40.76233505
DELANCEY LAUNDROMAT INC,-73.99338738,40.72011254
NEW LE FENG LAUNDRY INC.,-73.99335886,40.7166514
"ZHANG, JIN YIN",-73.99335886,40.7166514
"CHELSEA LAUNDRY, INC.",-73.99327297,40.74559483
"R&C 177 LAUNDRY, LLC",-73.99325854,40.74558934
MIN 81 LAUNDROMAT INC,-73.99308845,40.71527077
NEW LAUNDROMAT INC.,-73.99308845,40.71527077
NEW CANAL LAUNDROMAT INC.,-73.99308845,40.71527077
"COIN-OP, LLC",-73.99277663,40.76334233
LPJ REALTY CORP,-73.99277663,40.76334233
"LOUIE, BENNY GEHS",-73.99276529,40.73473382
