Neighborhood,Borough,Rent
University Heights,Bronx,1652
Belmont,Bronx,1657
Norwood,Bronx,1674
Parkchester,Bronx,1679
Bedford Park,Bronx,1682
Morris Heights,Bronx,1700
Fordham,Bronx,1707
Bronxwood,Bronx,1723
East Tremont,Bronx,1755
Tremont,Bronx,1769
Concourse,Bronx,1776
Woodstock,Bronx,1812
Castle Hill,Bronx,1820
Highbridge,Bronx,1855
Soundview,Bronx,1896
Kingsbridge,Bronx,1904
Mott Haven,Bronx,1927
Morris Park,Bronx,1946
Pelham Bay,Bronx,2050
Riverdale,Bronx,2271
East New York,Brooklyn,1699
Brownsville,Brooklyn,1728
Marine Park,Brooklyn,1750
Bensonhurst,Brooklyn,1803
East Flatbush,Brooklyn,1843
Canarsie,Brooklyn,1845
Gravesend,Brooklyn,1851
Bath Beach,Brooklyn,1871
Borough Park,Brooklyn,1875
Midwood,Brooklyn,1913
Sunset Park,Brooklyn,1929
Flatbush,Brooklyn,1930
Sheepshead Bay,Brooklyn,1939
Dyker Heights,Brooklyn,1984
Bay Ridge,Brooklyn,2014
Ditmas Park,Brooklyn,2053
Bedford-Stuyvesant,Brooklyn,2072
Bushwick,Brooklyn,2122
Crown Heights,Brooklyn,2138
Prospect Park South,Brooklyn,2152
Prospect Lefferts Gardens,Brooklyn,2162
Kensington,Brooklyn,2184
Greenwood,Brooklyn,2264
Coney Island,Brooklyn,2267
Brighton Beach,Brooklyn,2344
Greenpoint,Brooklyn,2662
Windsor Terrace,Brooklyn,2677
Red Hook,Brooklyn,2684
Clinton Hill,Brooklyn,2774
Prospect Heights,Brooklyn,2878
Park Slope,Brooklyn,2899
Columbia St Waterfront District,Brooklyn,2905
Gowanus,Brooklyn,3101
Fort Greene,Brooklyn,3156
Carroll Gardens,Brooklyn,3203
Williamsburg,Brooklyn,3286
Boerum Hill,Brooklyn,3364
Cobble Hill,Brooklyn,3541
Downtown Brooklyn,Brooklyn,3761
Brooklyn Heights,Brooklyn,4322
DUMBO,Brooklyn,5138
Inwood,Manhattan,2025
Washington Heights,Manhattan,2026
Hamilton Heights,Manhattan,2226
Marble Hill,Manhattan,2230
West Harlem,Manhattan,2252
East Harlem,Manhattan,2369
Central Harlem,Manhattan,2457
Morningside Heights,Manhattan,2883
Chinatown,Manhattan,2932
Lower East Side,Manhattan,3194
East Village,Manhattan,3408
Little Italy,Manhattan,3690
Upper East Side,Manhattan,3782
Roosevelt Island,Manhattan,3783
Nolita,Manhattan,4074
Gramercy Park,Manhattan,4191
Stuyvesant Town/PCV,Manhattan,4457
West Village,Manhattan,4481
Upper West Side,Manhattan,4590
Financial District,Manhattan,5019
Greenwich Village,Manhattan,5461
Chelsea,Manhattan,5908
Midtown,Manhattan,5319.75
Battery Park City,Manhattan,6212
Flatiron District,Manhattan,6945
Soho,Manhattan,7277
Tribeca,Manhattan,7863
Rockaway All,Queens,1830
Auburndale,Queens,1850
Glendale,Queens,1906
Maspeth,Queens,1965
Kew Gardens Hills,Queens,1970
Woodhaven,Queens,1978
Briarwood,Queens,1988
Middle Village,Queens,2005
Whitestone,Queens,2050
Corona,Queens,2072
Flushing,Queens,2110
Woodside,Queens,2114
Ridgewood,Queens,2123
Jackson Heights,Queens,2144
Elmhurst,Queens,2153
Sunnyside,Queens,2159
Bayside,Queens,2197
Astoria,Queens,2242
Kew Gardens,Queens,2308
Rego Park,Queens,2318
Forest Hills,Queens,2377
Jamaica Estates,Queens,2382
Jamaica,Queens,2743
Long Island City,Queens,3879
